ID_station,nom_station,adresse_station,latitude,longitude,nom_porteur,type_charge,nbre_pdc,type_connecteur,date_maj,observations,source
REN127,ETABLISSEMENT RENAULT DE VIZILLE,VIZILLE,45.083326,5.765401,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN128,ETABLISSEMENT RENAULT DE BOURGOIN-JALLIEU,BOURGOIN-JALLIEU,45.594099,5.270495,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN129,ETABLISSEMENT RENAULT DE SAINT-MARTIN-D'HERES,SAINT-MARTIN-D'HERES,45.170917,5.752442,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN130,ETABLISSEMENT RENAULT DE FONTAINE,FONTAINE,45.193896,5.675385,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN131,ETABLISSEMENT RENAULT DE LONS-LE-SAUNIER,LONS-LE-SAUNIER,46.671627,5.568491,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN132,ETABLISSEMENT RENAULT DE DOLE,DOLE,47.11214,5.495922,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN133,ETABLISSEMENT RENAULT DE SAINT-CLAUDE,SAINT-CLAUDE,46.382633,5.861635,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN134,ETABLISSEMENT RENAULT DE MONT-DE-MARSAN,MONT-DE-MARSAN,43.903286,-0.478727,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN135,ETABLISSEMENT RENAULT DE DAX,DAX,43.715159,-1.055643,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN136,ETABLISSEMENT RENAULT DE AIRE-SUR-L'ADOUR,AIRE-SUR-L'ADOUR,43.722405,-0.26465,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN137,ETABLISSEMENT RENAULT DE BLOIS,BLOIS,47.609102,1.310104,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN138,ETABLISSEMENT RENAULT DE ROMORANTIN-LANTHENAY,ROMORANTIN-LANTHENAY,47.338102,1.750225,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN139,ETABLISSEMENT RENAULT DE BRACIEUX,BRACIEUX,47.544737,1.538067,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN140,ETABLISSEMENT RENAULT DE SAINT-ETIENNE,SAINT-ETIENNE,45.459484,4.3833,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN141,ETABLISSEMENT RENAULT DE LE COTEAU,LE COTEAU,46.014693,4.096542,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN142,ETABLISSEMENT RENAULT DE SAINT-CHAMOND,SAINT-CHAMOND,45.479861,4.535189,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN143,ETABLISSEMENT RENAULT DE MONTBRISON,MONTBRISON,45.599296,4.073568,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN144,ETABLISSEMENT RENAULT DE BRIVES-CHARENSAC,BRIVES-CHARENSAC,45.048642,3.914841,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN145,ETABLISSEMENT RENAULT DE CHATEAUBRIANT,CHATEAUBRIANT,47.7009,-1.403196,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN146,ETABLISSEMENT RENAULT DE ANCENIS,ANCENIS,47.371594,-1.188561,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN147,ETABLISSEMENT RENAULT DE GORGES,GORGES,47.096635,-1.293818,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN148,ETABLISSEMENT RENAULT DE PORNIC,PORNIC,47.127993,-2.119162,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN149,ETABLISSEMENT RENAULT DE GUERANDE,GUERANDE,47.322077,-2.413165,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
